HD	RAJ2000	DEJ2000	Mag	Name	Constellation	Bayer
27371	04 19 47.53	+15 37 39.7	 3.65	Hyadum I	Taurus	gamma
27697	04 22 56.03	+17 32 33.3	 3.77	Hyadum II	Taurus	delta
51250	06 56 06.65	-14 02 36.4	 5.00	Isida	Canis Major	mu
129988	14 44 59.25	+27 04 27.0	 2.35	Izar	Bootes	epsilon
16970	02 43 18.12	+03 14 10.2	 3.47	Kaffaljidhma	Cetus	gamma
148112	16 25 24.93	+14 02 00.3	 4.57	Kajam	Hercules	omega
60178	07 34 36.00	+31 53 19.0	 2.88	Kastor	Gemini	alpha
60179	07 34 36.00	+31 53 18.0	 1.98	Kastor	Gemini	alpha
205637	21 37 04.82	-19 27 57.6	 4.51	Kastra	Capricornus	epsilon
169022	18 24 10.35	-34 23 03.5	 1.79	Kaus Australis	Sagittarius	epsilon
169916	18 27 58.27	-25 25 16.5	 2.82	Kaus Borealis	Sagittarius	lambda
168454	18 20 59.62	-29 49 40.9	 2.72	Kaus Meridionalis	Sagittarius	delta
26965	04 15 17.64	-07 38 40.4	 4.43	Keid; Kied	Eridanus	omicron
220061	23 20 38.22	+23 44 25.3	 4.58	Kerb	Pegasus	tau
122451	14 03 49.44	-60 22 22.7	 0.61	Khadar	Centaurus	beta
149757	16 37 09.53	-10 34 01.7	 2.54	Khan	Ophiucus	dzeta
202447	21 15 49.40	+05 14 53.1	 3.92	Kital'fa	Equuleus	alpha
125337	14 19 06.60	-13 22 16.2	 4.52	Kkhambaliya	Virgo	lambda
131873	14 50 42.40	+74 09 19.7	 2.07	Kochab	Ursa Minor	beta
148856	16 30 13.26	+21 29 22.7	 2.78	Korneforos	Hercules	beta
109379	12 34 23.23	-23 23 47.8	 2.65	Kraz	Corvus	beta
8538	01 25 48.60	+60 14 07.5	 2.66	Ksora; Rucha	Cassiopeia	delta
159541	17 32 10.42	+55 11 02.8	 4.89	Kuma	Draco	nu
159560	17 32 15.88	+55 10 22.1	 4.86	Kuma	Draco	nu
98430	11 19 20.52	-14 46 44.6	 3.56	Labr	Crater	delta
145502	16 11 59.74	-19 27 38.3	 4.00	Lesath	Scorpius	nu
158408	17 30 45.84	-37 17 44.7	 2.70	Lesath	Scorpius	upsilon
158899	17 30 44.30	+26 06 38.2	 4.41	Maasym	Hercules	lambda
23408	03 45 49.59	+24 22 04.3	 3.87	Majya	Taurus	20
177241	19 04 40.93	-21 44 28.9	 3.76	Manubrij	Sagittarius	omicron
6582	01 08 12.92	+54 55 27.2	 5.17	Marfak	Cassiopeia	mu
6961	01 11 05.93	+55 08 59.8	 4.34	Marfak	Cassiopeia	theta
148857	16 30 54.84	+01 59 02.8	 3.82	Marfic; Marfik; Marsic	Ophiucus	lambda
218045	23 04 45.62	+15 12 19.3	 2.49	Markab	Pegasus	alpha
61555	07 38 49.88	-26 48 14.0	 3.80	Markeb	Puppis	kappa
79940	09 15 45.07	-37 24 47.3	 4.63	Markeb	Vela	kappa
145001	16 08 04.55	+17 02 49.2	 5.00	Marsik	Hercules	kappa
215182	22 43 00.13	+30 13 16.7	 2.93	Matar	Pegasus	eta
48329	06 43 55.93	+25 07 52.2	 3.06	Mebsuta	Gemini	epsilon
106591	12 15 25.45	+57 01 57.4	 3.32	Megrez	Ursa Major	delta
52973	07 04 06.54	+20 34 13.1	 4.01	Mekbuda	Gemini	dzeta
129056	14 41 55.77	-47 23 17.3	 2.30	Men	Lupus	alpha
40183	05 59 31.77	+44 56 50.8	 1.90	Menkalinan	Auriga	beta
18604	02 59 42.90	+08 54 26.6	 4.71	Menkar	Cetus	lambda
18884	03 02 16.78	+04 05 23.7	 2.54	Menkar	Cetus	alpha
123139	14 06 41.32	-36 22 07.3	 2.06	Menkent	Centaurus	theta
24398	03 54 07.92	+31 53 01.2	 2.84	Menkhib	Perseus	dzeta
24912	03 58 57.90	+35 47 27.7	 3.98	Menkib	Perseus	xi
95418	11 01 50.39	+56 22 56.4	 2.34	Merak	Ursa Major	beta
130945	14 49 18.68	+46 06 59.0	 5.76	Merga	Bootes	38
23480	03 46 19.56	+23 56 54.5	 4.14	Merope	Taurus	23
11502	01 53 31.77	+19 17 38.7	 3.88	Mesarthim	Aries	gamma
11503	01 53 31.80	+19 17 45.0	 4.83	Mesartkhim	Aries	gamma
150798	16 48 39.87	-69 01 39.5	 1.91	Metallakh	Triangulum Australe	alpha
80007	09 13 12.24	-69 43 02.9	 1.67	Miaplacidus	Carina	beta
105707	12 10 07.53	-22 37 11.3	 3.02	Minkar	Corvus	epsilon
36486	05 32 00.40	-00 17 56.7	 2.25	Mintaka	Orion	delta
14386	02 19 20.79	-02 58 37.4	 6.47	Mira	Cetus	omicron
6860	01 09 43.80	+35 37 15.0	 2.07	Mirach	Andromeda	beta
129989	14 44 59.20	+27 04 27.0	 2.70	Mirach; Mizar	Bootes	epsilon
17506	02 50 41.79	+55 53 43.9	 3.77	Miram	Perseus	eta
20902	03 24 19.35	+49 51 40.5	 1.79	Mirfak	Perseus	alpha
44743	06 22 41.99	-17 57 21.3	 1.98	Mirzam	Canis Major	beta
13994	02 18 04.60	+57 30 58.8	 5.99	Misam	Perseus	chi
19476	03 09 29.63	+44 51 28.4	 3.79	Misam	Perseus	kappa
116657	13 23 56.40	+54 55 18.0	 3.95	Mitsar	Ursa Major	dzeta
116656	13 23 55.42	+54 55 31.5	 2.23	Mizar	Ursa Major	dzeta
121370	13 54 41.12	+18 23 54.9	 2.68	Mufrid	Bootes	eta
53244	07 03 45.49	-15 37 59.7	 4.11	Muliphein	Canis Major	gamma
71369	08 30 16.03	+60 43 06.4	 3.35	Muscida	Ursa Major	omicron
72905	08 39 11.74	+65 01 14.5	 5.63	Muscida	Ursa Major	pi
73108	08 40 12.90	+64 19 40.3	 4.59	Muscida	Ursa Major	pi
66811	08 03 35.07	-40 00 11.5	 2.21	Naos	Puppis	dzeta
165135	18 05 48.52	-30 25 25.1	 2.98	Nash; Nushaba	Sagittarius	gamma
206088	21 40 05.34	-16 39 44.1	 3.69	Nashira	Capricornus	gamma
35497	05 26 17.50	+28 36 28.3	 1.65	Nat	Taurus	beta
35497	05 26 17.50	+28 36 28.3	 1.65	Nat	Auriga	gamma
133208	15 01 56.79	+40 23 26.3	 3.49	Nekkar	Bootes	beta
36079	05 28 14.73	-20 45 33.2	 2.81	Nihal	Lepus	beta
155763	17 08 47.23	+65 42 52.7	 3.17	Nod	Draco	dzeta
175191	18 55 15.92	-26 17 47.7	 2.05	Nunki	Sagittarius	sigma
137909	15 27 49.85	+29 06 19.8	 3.66	Nusakan	Corona Borealis	beta
164975	18 05 01.22	-29 34 48.3	 4.66	Nushaba	Sagittarius	gamma
194636	20 27 19.20	-18 12 42.1	 5.08	Okul	Capricornus	pi
193924	20 25 38.85	-56 44 05.6	 1.94	Peacock	Pavo	alpha
137422	15 20 43.75	+71 50 02.3	 3.00	Pherkad	Ursa Minor	gamma
136726	15 17 05.88	+71 49 26.0	 5.02	Pherkad Minor	Ursa Minor	11
23862	03 49 11.20	+24 08 12.6	 5.05	Pleione	Taurus	28
8890	02 31 47.08	+89 15 50.9	 1.97	Polaris	Ursa Minor	alpha
177482	21 08 46.01	-88 57 23.4	 5.45	Polaris Australis	Octans	sigma
166937	18 13 45.81	-21 03 31.8	 3.84	Polis	Sagittarius	mu
62509	07 45 19.36	+28 01 34.7	 1.16	Pollux	Gemini	beta
110379	12 41 40.00	-01 26 58.3	 2.74	Porrima	Virgo	gamma
