Cat,NGC/IC,RAJ2000,DEJ2000,N,Note,qPos
N,90,5.4649166666666659,22.4000277777777747,4,*,c
I,91,19.6644208333333306,2.5540083333333330,2, ,b
N,91,5.4656666666666659,22.3682222222222191,2,*,c
I,92,19.9517916666666639,32.7673055555555510,5,*,c
N,92,5.3824999999999993,-48.6249999999999932,3, ,d
I,93,19.7593749999999973,-17.0605277777777754,3,*,c
N,93,5.5133333333333326,22.4081111111111080,6,*,c
I,94,20.0228749999999972,32.7173333333333288,1,*,c
N,94,5.5566249999999992,22.4829166666666635,2, ,c
I,95,19.8244958333333306,-12.5739944444444427,2, ,b
N,95,5.5573333333333326,10.4917222222222208,7, ,c
N,96,5.5741249999999992,22.5462499999999969,2, ,c
I,96,20.1386666666666639,29.6165277777777737,2, ,c
I,97,20.0085333333333306,14.8611138888888868,3,*,b
N,97,5.6249999999999992,29.7451666666666625,5, ,c
I,98,20.2286916666666639,-12.6045944444444427,3, ,b
N,98,5.7054166666666659,-45.2688888888888826,2, ,d
N,99,5.9980416666666658,15.7699166666666645,4, ,c
I,99,20.6137499999999971,-12.9527499999999982,2, ,c
I,100,20.7250749999999971,-4.6429305555555549,4, ,b
N,100,6.0110833333333325,16.4859722222222199,5, ,c
I,101,21.0358333333333304,9.9302499999999986,4, ,c
N,101,5.9770833333333325,-32.5363888888888844,2, ,d
I,102,21.1099166666666637,9.8865555555555542,4, ,c
N,102,6.1520833333333325,-13.9566666666666647,3, ,d
I,103,21.1522624999999971,2.0441611111111108,5, ,b
N,103,6.3166666666666658,61.3233333333333248,2, ,e
N,104,6.0227083333333325,-72.0810833333333233,3, ,c
I,104,21.1395833333333304,-1.4563888888888887,2, ,d
N,105,6.3202916666666658,12.8839166666666649,5, ,c
I,105,21.2258333333333304,2.0572222222222219,1, ,d
I,105,21.1929166666666637,2.0747222222222219,3, ,d
I,106,21.1738333333333304,-1.5874444444444442,8,*,c
N,106,6.1820833333333325,-5.1491666666666660,2, ,d
I,107,21.3529583333333304,14.8641388888888868,4,*,c
N,107,6.4254166666666658,-8.2838888888888877,3, ,d
N,108,6.4982916666666658,29.2116388888888848,5, ,c
I,108,21.1624583333333304,-12.6356944444444427,2, ,c
N,109,6.5610374999999991,21.8071805555555525,4, ,b
I,109,21.3043333333333304,2.0667499999999997,5, ,c
N,110,6.8541666666666657,71.3833333333333234,2,*,e
I,110,21.4541666666666637,33.5216666666666620,1,*,e
I,110,21.4416666666666637,33.5149999999999953,1,*,e
I,111,21.4554166666666637,33.5044444444444398,1,*,d
I,111,21.5004166666666637,33.4969444444444398,1,*,d
N,111,6.6583333333333324,-2.6249999999999996,1,*,e
I,111,21.4958333333333303,33.5033333333333287,1,*,e
N,112,6.7031249999999991,31.7032222222222178,6, ,c
I,112,21.5122499999999970,11.4434166666666651,6, ,c
I,113,21.6063749999999970,19.1916944444444418,2, ,c
N,113,6.7279583333333324,-2.5008333333333330,3, ,c
N,114,6.7430291666666657,-1.7859833333333331,7, ,b
I,114,21.5942916666666637,9.9097222222222208,4, ,c
I,115,21.7268333333333303,19.2141666666666640,5, ,c
N,115,6.6933333333333324,-33.6763888888888842,2, ,d
I,116,21.7124999999999970,-4.9819444444444438,2, ,d
N,116,6.7716666666666657,-7.6688888888888878,2,*,d
N,116,6.7874999999999991,-7.9383333333333322,1,*,e
N,117,6.7958333333333324,1.3336111111111109,4, ,d
I,117,21.8558333333333303,-1.8599999999999997,1, ,d
N,118,6.8177208333333324,-1.7799777777777775,7, ,b
I,118,21.9000958333333303,-4.9974416666666660,2, ,b
I,119,21.9794041666666636,-2.0407499999999997,6, ,b
N,119,6.7391666666666657,-56.9780555555555476,2, ,d
N,120,6.8755416666666657,-1.5134999999999998,7,*,c
I,120,22.0537499999999969,-1.9158333333333331,5, ,d
N,121,6.6981249999999991,-71.5362499999999901,3, ,c
I,121,22.0908749999999969,2.5127499999999997,5, ,c
I,122,22.0550749999999969,-14.8390277777777757,2, ,b
N,122,6.9097083333333324,-1.6404722222222220,1,*,c
I,123,22.2146416666666636,2.4465305555555552,4, ,b
N,123,6.9167083333333324,-1.6277499999999998,2,*,c
N,123,6.9008333333333324,-1.5994444444444442,1,*,d
N,124,6.9680833333333324,-1.8106111111111109,7, ,c
I,124,22.2874999999999969,-1.9369722222222220,3,*,c
I,125,22.3263249999999969,-13.2801138888888870,3, ,b
N,125,7.2094166666666657,2.8388333333333329,10, ,c
I,126,22.4490416666666635,-1.9838055555555553,4, ,c
N,126,7.2838749999999990,2.8107777777777774,7, ,c
N,127,7.3013499999999990,2.8724833333333329,6, ,b
I,127,22.4477916666666635,-6.9799444444444435,6, ,c
I,128,22.8494166666666635,-12.6244722222222205,2, ,c
N,128,7.3127499999999990,2.8641388888888885,9, ,c
I,129,22.8804249999999968,-12.6546166666666649,2, ,b
N,129,7.4999999999999990,60.2183333333333250,3, ,e
I,130,22.8694458333333302,-15.5915472222222201,3, ,b
N,130,7.3273333333333323,2.8703611111111107,5, ,c
I,131,23.3123749999999968,30.7522777777777735,3,*,c
I,131,23.2969166666666634,30.7535833333333291,1,*,c
I,131,23.3083333333333301,30.7444444444444402,1,*,c
I,131,23.3109166666666634,30.7488055555555513,1,*,c
N,131,7.4091666666666656,-33.2591666666666620,3, ,d
I,132,23.3160416666666634,30.9451111111111068,3, ,c
I,132,23.3125833333333301,30.9334166666666624,1, ,c
I,132,23.3102499999999968,30.9355833333333290,1, ,c
N,132,7.5439583333333323,2.0928888888888886,7, ,c
I,132,23.3112499999999968,30.9341666666666624,1, ,d
I,133,23.3147499999999968,30.8858333333333290,3, ,c
I,133,23.3181666666666634,30.8796111111111068,1, ,c
N,133,7.8291666666666656,63.3499999999999912,2, ,e
N,134,7.5912916666666656,-33.2456944444444398,5, ,c
I,134,23.3545416666666634,30.8998055555555513,3,*,c
I,135,23.5682083333333301,30.6203055555555513,1,*,c
N,135,7.9416666666666656,-13.3380277777777759,3,*,c
I,135,23.5647083333333301,30.6194444444444402,2,*,c
I,135,23.5662083333333301,30.6197222222222180,1,*,c
I,136,23.5719999999999967,30.5607499999999958,1,*,c
I,136,23.5660416666666634,30.5618611111111069,3,*,c
I,136,23.5662499999999967,30.5613333333333291,1,*,c
I,136,23.5577499999999967,30.5618611111111069,1,*,c
N,136,7.8791666666666656,61.5099999999999915,2, ,e
I,137,23.4127499999999967,30.5223333333333291,2, ,c
N,137,7.7421249999999989,10.2083055555555541,4, ,c
N,138,7.7470833333333323,5.1595277777777771,5, ,c
I,138,23.2585833333333301,-0.69019444444444434858,4,*,c
I,139,23.4968333333333301,30.5674444444444402,1,*,c
I,139,23.4937916666666634,30.5700277777777735,1,*,c
I,139,23.4967499999999967,30.5673611111111069,1,*,c
I,139,23.4996249999999967,30.5644444444444402,1,*,c
N,139,7.7768333333333323,5.0783333333333326,3, ,c
I,139,23.4974999999999967,30.5752777777777735,1,*,d
N,140,7.8354583333333322,30.7917222222222179,6, ,c
I,140,23.4921666666666634,30.5506388888888846,2,*,c
I,140,23.4764166666666634,30.5515833333333291,1,*,c
N,141,7.8230833333333322,5.1796111111111104,1, ,c
N,141,7.8237499999999989,5.1791666666666659,2, ,d
N,141,7.8233333333333322,5.1788888888888882,2, ,d
I,141,23.2145833333333301,-14.8149999999999979,2, ,d
N,141,7.8224999999999989,5.1797222222222215,1, ,d
I,142,23.4820833333333301,30.7564722222222180,3, ,c
I,142,23.4802916666666634,30.7560833333333291,1, ,c
I,142,23.4832499999999967,30.7579999999999957,1, ,c
N,142,7.7854166666666656,-22.6191666666666635,2, ,d
I,143,23.5466666666666634,30.7771388888888846,2, ,c
I,143,23.5552916666666634,30.7743333333333291,1, ,c
N,143,7.8162499999999989,-22.5602777777777746,3, ,d
I,144,24.4204958333333299,-13.3146166666666648,3, ,b
N,144,7.8370833333333322,-22.6458333333333302,2, ,d
I,145,24.6612499999999966,0.74138888888888878592,2, ,d
N,145,7.9404166666666656,-5.1533333333333326,3, ,d
I,146,24.6658749999999966,-17.8318055555555531,4,*,c
I,146,24.6606249999999966,-17.8280555555555531,1,*,c
N,146,8.2624999999999989,63.3016666666666579,2, ,e
N,147,8.2997083333333322,48.5075277777777710,8, ,c
I,147,24.9988749999999965,-14.8627499999999979,1, ,c
I,148,25.6129166666666631,13.9766666666666647,3, ,c
N,148,8.5645833333333321,-31.7858333333333289,3, ,d
I,149,25.6067499999999964,-16.3003055555555533,2, ,c
N,149,8.4594166666666655,30.7229166666666624,5, ,c
N,150,8.5654166666666655,-27.8045277777777739,6, ,c
I,150,25.7397916666666631,4.1996111111111105,4, ,c
N,151,8.5108333333333322,-9.7055555555555542,4,*,d
I,151,25.9874999999999964,13.2033333333333315,1,*,e
I,152,26.0054166666666631,13.0738888888888871,2,*,d
N,152,8.2366666666666655,-73.1158333333333232,3, ,d
I,152,26.0291666666666631,13.0366666666666649,1,*,e
N,153,8.5108333333333322,-9.7055555555555542,4,*,d
I,153,26.1499999999999964,12.6283333333333316,1,*,e
I,154,26.3180333333333297,10.6491472222222207,5, ,b
N,154,8.5808916666666655,-12.6561888888888871,3, ,b
N,155,8.6673083333333321,-10.7663805555555541,5, ,b
I,155,26.8833333333333296,60.6116666666666582,1,*,e
I,156,26.3717249999999963,10.5526194444444430,5, ,b
N,156,8.6480833333333321,-8.3374166666666655,1,*,c
N,156,8.6501249999999988,-8.3427222222222211,1,*,c
N,156,8.6491666666666655,-8.3397222222222211,2,*,d
N,157,8.6942499999999988,-8.3962222222222211,9,*,c
I,157,26.4249999999999963,12.8733333333333315,1,*,e
I,158,26.4728249999999963,-6.9356555555555546,2, ,b
N,158,8.7727083333333321,-8.3450277777777766,2,*,c
N,158,8.7720416666666654,-8.3441666666666655,1,*,c
N,158,8.7721666666666654,-8.3445277777777766,1,*,c
I,159,26.6043333333333296,-8.6369999999999988,3, ,c
N,159,8.6495833333333321,-55.7897222222222145,2, ,d
I,160,26.6224499999999963,-13.2480944444444426,2, ,b
N,160,9.0173749999999987,23.9578611111111078,7,*,c
N,161,8.8914666666666654,-2.8487361111111107,3, ,b
I,161,27.1827916666666629,10.5079166666666652,4,*,c
I,162,27.2227958333333296,10.5215083333333319,4,*,b
N,162,9.0384999999999987,23.9619999999999967,2,*,c
N,163,8.9990333333333321,-10.1216194444444430,3,*,b
I,163,27.3131666666666629,20.7108888888888860,5, ,c
N,164,9.1374999999999987,2.7499999999999996,2, ,d
I,164,27.2849999999999962,-3.9047222222222217,2, ,d
I,165,27.5584583333333295,27.6462222222222184,5,*,c
N,165,9.1204166666666654,-10.1061111111111097,3, ,d
N,166,8.9529166666666654,-13.6105555555555537,3, ,d
I,166,28.0916666666666628,61.8533333333333247,2, ,e
I,167,27.7853333333333295,21.9128055555555525,5, ,c
N,167,8.8462499999999988,-23.3755555555555523,2, ,d
I,168,27.6145833333333295,-8.5234166666666655,2, ,c
N,168,9.1624999999999987,-22.5936111111111080,2, ,d
I,169,27.6640124999999962,-12.6795944444444427,2, ,b
N,169,9.2158333333333321,23.9905833333333300,7, ,c
I,170,27.9891083333333294,-8.5175277777777766,3, ,b
N,170,9.1911249999999987,1.8863333333333331,5, ,c
I,171,28.7930833333333293,35.2810833333333284,5, ,c
N,171,9.3399999999999987,-19.9344444444444417,5,*,d
I,172,28.7258333333333293,0.81111111111111099846,4, ,d
N,172,9.3083333333333320,-22.5858333333333302,2, ,d
I,173,28.9881249999999960,1.2847222222222220,4, ,c
N,173,9.3019583333333320,1.9420277777777775,5, ,c
I,174,29.0670833333333293,3.7616388888888884,4, ,c
N,174,9.2454166666666654,-29.4777777777777737,3, ,d
I,175,29.0784583333333293,1.3320277777777776,3, ,c
N,175,9.3399999999999987,-19.9344444444444417,5,*,d
I,176,29.2226249999999959,-2.0191944444444442,5, ,c
N,176,8.9937499999999988,-73.1661111111111009,3, ,d
I,177,29.2523333333333293,-0.08966666666666665421,3,*,c
N,177,9.3956249999999987,-22.5490833333333302,3, ,c
N,178,9.7850833333333320,-14.1726111111111091,5,*,c
I,178,29.7286666666666625,36.6748888888888838,5, ,c
I,179,30.0483749999999958,38.0208333333333281,5, ,c
N,179,9.4429166666666654,-17.8494444444444420,4, ,d
I,180,30.0018374999999958,23.6041499999999967,4, ,b
N,180,9.4900833333333320,8.6344722222222210,6, ,c
I,181,30.0094541666666625,23.6588055555555523,3, ,b
N,181,9.5970833333333320,29.4719444444444404,4, ,d
I,182,29.9657083333333292,7.4115277777777767,4, ,c
N,182,9.5518333333333320,2.7284166666666663,5, ,c
N,183,9.6225416666666653,29.5109166666666626,6, ,c
I,183,29.8914999999999958,-5.3468611111111104,3, ,c
I,184,29.9631666666666625,-6.8408055555555546,3, ,c
N,184,9.6495833333333320,29.4469444444444404,4, ,d
N,185,9.7400833333333320,48.3371388888888822,11, ,c
I,185,30.0252499999999958,-1.5282499999999998,2, ,c
I,186,30.1028749999999958,-1.5511666666666665,2,*,c
N,186,9.6053749999999987,3.1660277777777773,5, ,c
I,186,30.1020833333333292,-1.5624999999999998,1,*,d
I,186,30.1054166666666625,-1.5483333333333331,1,*,d
I,186,30.1054166666666625,-1.5502777777777776,2,*,d
I,186,30.0995833333333292,-1.5530555555555553,3,*,d
I,187,30.3777916666666624,26.4811944444444408,4,*,c
I,187,30.3901666666666624,26.4843333333333297,2,*,c
N,187,9.8762499999999986,-14.6561111111111091,3, ,d
I,188,30.4432916666666624,26.5455555555555519,2,*,c
N,188,11.8666666666666650,85.2549999999999882,2, ,e
I,189,30.4705833333333291,23.5511388888888856,3, ,c
N,189,9.8958333333333320,61.0849999999999915,2, ,e
I,190,30.5303874999999958,23.5497333333333301,3, ,b
N,190,9.7278333333333320,7.0564722222222212,5, ,c
N,190,9.7279583333333320,7.0625555555555546,6, ,c
N,191,9.7511249999999986,-9.0147777777777765,5, ,c
N,191,9.7472083333333320,-9.0025277777777765,5, ,c
I,191,30.6223749999999957,18.3729166666666641,5,*,c
N,192,9.8062083333333320,0.86333333333333321343,7, ,c
I,192,30.6349583333333291,16.0139722222222200,4, ,c
N,193,9.8271333333333320,3.3310749999999995,9, ,b
I,193,30.6294166666666624,11.0926666666666651,5, ,c
N,194,9.8265416666666653,3.0371388888888885,7, ,c
I,194,30.7717916666666624,2.6136111111111107,4, ,c
N,195,9.8988874999999986,-9.1945499999999987,4, ,b
I,195,30.9359166666666624,14.7086944444444424,4, ,c
I,196,30.9576249999999957,14.7389999999999980,4, ,c
N,196,9.8242083333333320,0.91252777777777765104,6, ,c
N,197,9.8282791666666653,0.89163611111111098727,5, ,b
I,197,31.0207499999999957,2.7865277777777774,6, ,c
I,198,31.5130833333333290,9.2954999999999987,4,*,c
N,198,9.8455833333333320,2.7976944444444441,6, ,c
N,199,9.8882499999999986,3.1383888888888885,5, ,c
I,199,31.5810416666666623,9.2271666666666654,5,*,c
I,200,31.3612916666666623,31.1761388888888846,3,*,c
N,200,9.8949583333333320,2.8874722222222218,8, ,c
I,201,31.8136999999999956,9.1151138888888876,2, ,b
N,201,9.8958333333333320,0.85966666666666654727,6, ,c
I,202,31.8693333333333289,9.1681111111111098,6, ,c
N,202,9.9159583333333320,3.5359444444444440,5, ,c
I,203,31.8731958333333289,9.1225888888888876,2, ,b
N,203,9.9146249999999986,3.4424444444444440,5,*,c
I,204,31.8627791666666622,-1.4301694444444442,2, ,b
N,204,9.9343333333333320,3.2993611111111107,6, ,c
N,205,10.0923291666666653,41.6853638888888831,8, ,b
I,205,31.8644166666666622,-2.0913888888888886,4, ,c
I,206,32.3783333333333288,-6.9697222222222213,2,*,d
N,206,10.1329166666666653,40.7386111111111055,2, ,d
